slot,tick,x,y,z,pitch,yaw,roll
0,4,0,0,0,0,0,0
0,14,-5448.15625,-2004.94775390625,-285.8155517578125,49.4659423828125,-179.791259765625,0
0,16,-5478.041015625,-2005.326171875,-247.96556091308594,49.4659423828125,-179.791259765625,0
0,18,-5507.92578125,-2005.70458984375,-210.78225708007812,49.4659423828125,-179.791259765625,0
0,20,-5537.810546875,-2006.0830078125,-174.26560974121094,49.4659423828125,-179.791259765625,0
0,22,-5567.6953125,-2006.46142578125,-138.41563415527344,49.4659423828125,-179.791259765625,0
0,24,-5597.580078125,-2006.83984375,-103.2323226928711,49.4659423828125,-179.791259765625,0
0,28,-5657.349609375,-2007.5966796875,-34.865684509277344,49.4659423828125,-179.79124450683594,0
0,30,-5687.234375,-2007.97509765625,-1.6823692321777344,49.4659423828125,-179.79124450683594,0
0,32,-5717.119140625,-2008.353515625,30.834278106689453,49.4659423828125,-179.79124450683594,0
0,34,-5747.00390625,-2008.73193359375,62.68425750732422,49.4659423828125,-179.79124450683594,0
0,36,-5776.888671875,-2009.1103515625,93.86756896972656,49.4659423828125,-179.79124450683594,0
0,38,-5806.7734375,-2009.48876953125,124.38421630859375,49.4659423828125,-179.79124450683594,0
0,40,-5836.658203125,-2009.8671875,154.2342071533203,49.4659423828125,-179.79124450683594,0
0,42,-5866.54296875,-2010.24560546875,183.41751098632812,49.4659423828125,-179.79124450683594,0
0,44,-5896.427734375,-2010.6240234375,211.9341583251953,49.4659423828125,-179.79124450683594,0
0,46,-5926.3125,-2011.00244140625,239.7841339111328,49.4659423828125,-179.79124450683594,0
0,48,-5956.197265625,-2011.380859375,266.9674377441406,49.4659423828125,-179.79124450683594,0
0,50,-5986.08203125,-2011.75927734375,293.48406982421875,49.4659423828125,-179.79124450683594,0
0,52,-6015.966796875,-2012.1376953125,319.33404541015625,49.4659423828125,-179.79124450683594,0
0,54,-6045.8515625,-2012.51611328125,344.5173645019531,49.4659423828125,-179.79124450683594,0
0,56,-6075.736328125,-2012.89453125,369.03399658203125,49.4659423828125,-179.79124450683594,0
0,58,-6105.62109375,-2013.27294921875,392.88397216796875,49.4659423828125,-179.79124450683594,0
0,60,-6135.505859375,-2013.6513671875,416.0672912597656,49.4659423828125,-179.79124450683594,0
0,62,-6165.390625,-2014.02978515625,438.58392333984375,49.4659423828125,-179.79124450683594,0
0,64,-6195.275390625,-2014.408203125,460.43389892578125,49.4659423828125,-179.79124450683594,0
0,66,-6225.16015625,-2014.78662109375,481.6172180175781,49.4659423828125,-179.79124450683594,0
0,68,-6255.044921875,-2015.1650390625,502.13385009765625,49.4659423828125,-179.79124450683594,0
0,70,-6284.9296875,-2015.54345703125,521.9838256835938,49.4659423828125,-179.79124450683594,0
0,72,-6314.814453125,-2015.921875,541.1671142578125,49.4659423828125,-179.79124450683594,0
0,74,-6344.69921875,-2016.30029296875,559.6837768554688,49.4659423828125,-179.79124450683594,0
